               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.072043,             0.06897,            0.066554,              0.7331,            0.063168,            0.059898,            0.022152,            0.071246,            0.037659,             0.06369,           0.0090001,           0.0090001,           0.0090001
                 103,            0.073592,            0.063899,            0.066039,             0.73344,            0.068313,            0.068199,            0.024631,            0.071474,            0.035637,            0.063797,           0.0089902,           0.0089902,           0.0089902
                 104,            0.073143,            0.063325,            0.066475,             0.70551,            0.065783,            0.060398,            0.023846,            0.071644,            0.034592,            0.063965,           0.0089803,           0.0089803,           0.0089803
                 105,            0.075891,            0.065649,            0.067048,             0.78156,            0.066391,            0.071233,            0.026289,            0.073048,             0.03595,            0.063766,           0.0089704,           0.0089704,           0.0089704
                 106,            0.074538,            0.066695,            0.064843,             0.80545,            0.057966,            0.075625,            0.031118,            0.070259,            0.034241,            0.063202,           0.0089605,           0.0089605,           0.0089605
                 107,            0.072434,            0.068171,            0.065509,             0.68479,             0.08141,            0.062305,            0.020979,            0.072757,            0.034149,            0.063187,           0.0089506,           0.0089506,           0.0089506
                 108,            0.073118,            0.063873,            0.066386,              0.7483,            0.067787,            0.078082,            0.026779,            0.071141,            0.034668,            0.063599,           0.0089407,           0.0089407,           0.0089407
                 109,            0.072404,            0.069422,            0.064622,             0.79323,            0.062687,            0.067013,            0.023264,            0.070214,            0.034622,            0.062866,           0.0089308,           0.0089308,           0.0089308
                 110,            0.074569,            0.059419,            0.066938,             0.82577,            0.061838,            0.090156,            0.035837,            0.069092,            0.034302,            0.062347,           0.0089209,           0.0089209,           0.0089209
                 111,            0.072949,             0.06818,            0.065271,             0.82575,            0.052202,             0.07553,            0.025902,             0.07263,            0.033493,            0.061676,            0.008911,            0.008911,            0.008911
                 112,            0.071948,            0.066695,            0.065638,             0.76219,            0.064827,            0.076026,            0.029537,            0.068414,             0.03418,            0.061935,           0.0089011,           0.0089011,           0.0089011
                 113,            0.070469,            0.063939,            0.065121,             0.79969,            0.061779,            0.074738,            0.025802,            0.071229,            0.034225,             0.06134,           0.0088912,           0.0088912,           0.0088912
                 114,            0.073393,            0.057654,            0.062653,             0.73461,            0.073187,            0.085112,            0.036334,            0.067893,            0.034592,            0.061234,           0.0088813,           0.0088813,           0.0088813
                 115,            0.072255,            0.067901,            0.064475,             0.65851,              0.1042,             0.07147,            0.026105,            0.074015,            0.034836,            0.060776,           0.0088714,           0.0088714,           0.0088714
                 116,            0.071529,            0.058765,            0.067558,             0.81798,            0.072043,            0.090702,            0.035671,             0.06854,            0.034035,            0.060608,           0.0088615,           0.0088615,           0.0088615
                 117,            0.071623,            0.067802,            0.063578,             0.81779,            0.063379,             0.08088,            0.031971,            0.070235,            0.033264,            0.060165,           0.0088516,           0.0088516,           0.0088516
